cdate,acode,aname,scode,sname,fdust,ufdust,ozone,nd,cm,sagas,ozone(ug/m^3),nd(ug/m^3),cm(ug/m^3),sagas(ug/m^3),fdust^2,ufdust^2,ozone^2,nd^2,cm^2,sagas^2
2018-01-01,100,도심권,111121,중구,32,18.0,0.015,0.028,0.5,0.005,32.14285714285714,57.50000000000001,625.0,14.285714285714286,1024.0,324.0,1033.1632653061222,3306.250000000001,390625.0,204.08163265306123
2018-01-01,104,동남권,111273,송파구,52,23.0,0.013,0.028,0.7,0.004,27.857142857142854,57.50000000000001,875.0,11.428571428571429,2704.0,529.0,776.0204081632652,3306.250000000001,765625.0,130.6122448979592
2018-01-01,104,동남권,111262,서초구,49,24.0,0.011,0.031,0.6,0.005,23.57142857142857,63.66071428571429,750.0,14.285714285714286,2401.0,576.0,555.612244897959,4052.686543367348,562500.0,204.08163265306123
2018-01-01,104,동남권,111261,강남구,34,22.0,0.01,0.033,0.6,0.006,21.428571428571427,67.76785714285715,750.0,17.142857142857146,1156.0,484.0,459.1836734693877,4592.482461734695,562500.0,293.87755102040825
2018-01-01,103,서남권,111301,양천구,37,21.0,0.008,0.037000000000000005,0.7,0.005,17.142857142857142,75.98214285714288,875.0,14.285714285714286,1369.0,441.0,293.87755102040813,5773.286033163268,765625.0,204.08163265306123
2018-01-01,103,서남권,111281,금천구,39,21.0,0.01,0.036000000000000004,0.6,0.005,21.428571428571427,73.92857142857144,750.0,14.285714285714286,1521.0,441.0,459.1836734693877,5465.43367346939,562500.0,204.08163265306123
2018-01-01,103,서남권,111251,관악구,38,23.0,0.008,0.036000000000000004,0.5,0.008,17.142857142857142,73.92857142857144,625.0,22.857142857142858,1444.0,529.0,293.87755102040813,5465.43367346939,390625.0,522.4489795918367
2018-01-01,103,서남권,111241,동작구,40,19.0,0.012,0.035,0.5,0.005,25.71428571428571,71.87500000000001,625.0,14.285714285714286,1600.0,361.0,661.2244897959182,5166.015625000002,390625.0,204.08163265306123
2018-01-01,103,서남권,111231,영등포구,47,24.0,0.01,0.03,0.7,0.006999999999999999,21.428571428571427,61.60714285714286,875.0,20.0,2209.0,576.0,459.1836734693877,3795.4400510204086,765625.0,400.0
2018-01-01,103,서남권,111221,구로구,47,28.0,0.008,0.025,0.6,0.006999999999999999,17.142857142857142,51.33928571428572,750.0,20.0,2209.0,784.0,293.87755102040813,2635.722257653062,562500.0,400.0
2018-01-01,103,서남권,111212,강서구,0,13.0,0.012,0.036000000000000004,0.7,0.004,25.71428571428571,73.92857142857144,875.0,11.428571428571429,0.0,169.0,661.2244897959182,5465.43367346939,765625.0,130.6122448979592
2018-01-01,102,동북권,111311,노원구,42,21.0,0.012,0.034,0.8,0.006999999999999999,25.71428571428571,69.82142857142858,1000.0,20.0,1764.0,441.0,661.2244897959182,4875.0318877551035,1000000.0,400.0
2018-01-01,104,동남권,111274,강동구,48,24.0,0.01,0.038,0.7,0.005,21.428571428571427,78.03571428571429,875.0,14.285714285714286,2304.0,576.0,459.1836734693877,6089.572704081634,765625.0,204.08163265306123
2018-01-01,102,동북권,111291,강북구,38,18.0,0.018000000000000002,0.026,0.6,0.004,38.57142857142857,53.392857142857146,750.0,11.428571428571429,1444.0,324.0,1487.7551020408162,2850.7971938775513,562500.0,130.6122448979592
2018-01-01,102,동북권,111171,도봉구,44,22.0,0.016,0.029,0.6,0.006,34.285714285714285,59.55357142857144,750.0,17.142857142857146,1936.0,484.0,1175.5102040816325,3546.6278698979604,562500.0,293.87755102040825
